age,sex,n,Q1_mean,Q1_std,Q2_mean,Q2_std,Q3_mean,Q3_std,Q4_mean,Q4_std,half1_mean,half1_std,half2_mean,half2_std,total_mean,total_std
4,Male,24,1.99,1.07,,,1.18,0.63,,,,,,,1.68,0.69
5,Male,66,3.18,1.15,,,1.99,0.86,,,,,,,2.59,0.65
6,Male,19,5.05,1.68,4.7,2.24,2.37,0.96,1.74,1.03,4.45,1.79,2.02,0.97,2.96,0.94
7,Male,61,4.77,1.59,4.59,1.89,2.77,1.43,2.18,1.44,4.44,1.62,2.37,1.2,3.19,1.04
8,Male,36,5.47,1.66,5.94,1.99,3.78,1.28,3.43,1.44,5.41,1.79,3.64,1.36,4.22,1.24
9,Male,57,5.52,1.86,6.06,1.85,3.79,1.48,3.27,1.58,5.49,1.75,3.54,1.46,4.25,1.44
10,Male,33,5.66,1.59,6.7,1.72,4.07,1.21,3.74,1.3,5.86,1.65,3.83,1.31,4.6,1.29
11,Male,55,6.21,1.56,6.3,2.04,4.15,1.48,3.67,1.62,6.01,1.88,3.84,1.57,4.69,1.48
12,Male,37,7.04,1.46,6.96,1.71,4.35,1.44,4.26,1.49,6.62,1.47,4.22,1.41,4.97,1.15
13,Male,66,6.6,1.53,6.92,1.64,4.82,1.45,4.72,1.66,6.31,1.53,4.61,1.43,5.16,1.22
14,Male,46,7.24,1.06,7.19,1.37,5.08,1.17,5.17,1.39,6.77,1.2,4.83,1.14,5.32,1.05
15,Male,61,7.41,1.47,7.34,1.53,4.84,1.64,5.08,1.38,6.92,1.55,4.68,1.32,5.25,1.19
16,Male,22,6.82,1.87,7.27,1.47,4.85,1.88,5.04,1.81,6.59,1.8,4.58,1.53,5.16,1.36
17,Male,18,7.33,1.51,8.09,0.85,5.47,1.97,5.81,2.09,7.36,1.32,5,1.74,5.63,1.51
18,Male,32,7.46,1.03,7.24,1.16,4.76,1.36,4.98,1.79,6.93,0.98,4.48,1.17,5.18,1.04
19,Male,25,7.82,0.97,8.07,1.04,5.77,1.08,5.9,1.19,7.56,1.03,5.64,1.17,6.24,1
20,Male,19,7.03,1.42,7.21,1.28,4.94,1.14,4.88,1.28,6.77,1.36,4.75,1.15,5.3,1.08
30,Male,4,8.53,0.01,8.07,0.93,5.81,0.34,6.35,1.47,8.13,0.81,5.84,0.44,6.49,0.36
40,Male,14,7.57,1,7.87,0.92,6.01,1.47,5.67,0.92,7.32,0.81,5.64,1.04,6.29,0.84
50,Male,8,7.45,1.7,7.54,1.07,6.19,1.05,5.38,1.03,6.73,1.52,5.32,0.94,5.71,1.02
60,Male,12,7.69,1.05,8.04,0.88,6.09,1.76,5.89,1.18,7.62,0.97,5.75,1.3,6.19,0.91
70,Male,12,7.19,1.57,6.64,1.89,4.54,1.79,4.53,1.58,6.43,1.85,4.17,1.46,4.77,1.35
80,Male,8,5.62,2.06,5.56,1.64,2.94,0.62,4.02,2.07,5.13,1.66,3.04,0.71,3.8,0.58
4,Female,26,2.25,1.64,,,1.38,0.86,,,,,,,1.86,0.84
5,Female,80,3.78,1.67,,,2.4,1.05,,,,,,,2.93,0.98
6,Female,23,4.31,1.39,4.85,1.9,2.91,1.34,2.22,0.95,4.62,1.56,2.4,0.91,3.1,0.7
7,Female,61,5.4,1.74,5.77,1.95,3.53,1.4,2.84,1.34,5.31,1.82,3.06,1.31,3.84,1.2
8,Female,38,5.98,1.55,6.41,1.85,4.14,1.3,3.65,1.33,5.64,1.66,3.74,1.29,4.31,1.19
9,Female,55,6.36,1.67,6.43,1.5,4.35,1.31,3.84,1.45,6.05,1.64,4.01,1.33,4.71,1.23
10,Female,34,6.63,1.21,7.21,1.72,4.88,1.35,4.34,1.43,6.73,1.51,4.65,1.32,5.39,1.41
11,Female,60,6.34,1.42,6.79,1.72,4.61,1.2,4.09,1.3,6.43,1.49,4.43,1.17,5.06,1.17
12,Female,49,7.09,1.5,7.18,1.42,4.93,1.39,4.84,1.5,7.04,1.51,4.64,1.29,5.34,1.26
13,Female,69,7.3,1.38,7.39,1.35,4.8,1.58,4.89,1.45,6.98,1.4,4.53,1.33,5.14,1.14
14,Female,36,7.72,1.04,7.75,1.13,5.29,1.48,5.47,1.64,7.45,1.07,5.06,1.26,5.71,1.12
15,Female,58,7.31,1.36,7.66,1.36,5.2,1.58,5.23,1.88,7.1,1.44,5.1,1.58,5.63,1.42
16,Female,30,7.41,1.48,7.56,1.52,5.28,1.53,5.03,1.62,7.27,1.49,4.88,1.38,5.56,1.31
17,Female,29,7.23,1.51,7.77,0.99,6.07,1.55,5.46,1.68,7.05,1.27,5.6,1.57,5.88,1.08
18,Female,18,7.55,1.22,7.6,1.23,5.14,1.37,5.26,1.33,7.2,1.26,4.92,1.2,5.49,1.08
19,Female,66,7.29,1.16,7.45,1.37,5.22,1.52,5.13,1.52,6.98,1.28,4.88,1.36,5.44,1.14
20,Female,54,7.78,1.29,7.63,1.44,5.85,1.5,5.75,1.82,7.3,1.35,5.5,1.51,5.89,1.25
30,Female,22,7.98,1.13,7.92,1.3,6.3,1.42,5.66,1.25,7.58,1.47,5.55,0.94,6.05,0.96
40,Female,19,7.58,1.06,7.67,1.27,5.82,0.92,6.37,1.17,7.29,1.1,5.77,0.87,6.21,0.85
50,Female,16,7.71,1.11,8.27,0.72,6.1,1.76,6.25,1.53,7.79,1.01,5.61,1.38,6.2,1.22
60,Female,24,7.25,1.35,7.76,1.36,5.54,1.44,5.71,1.17,7.13,1.42,5.4,1.27,5.76,1.23
70,Female,39,7.17,1.29,7.03,1.54,4.92,1.35,5.64,1.46,6.55,1.42,4.78,1.13,5.21,1.01
80,Female,23,6.51,1.51,7.04,1.92,4.75,1.68,4.22,1.74,6.32,1.72,4.05,1.35,4.63,1.21
