age,sex,n,Q1_mean,Q1_std,Q2_mean,Q2_std,Q3_mean,Q3_std,Q4_mean,Q4_std,half1_mean,half1_std,half2_mean,half2_std,total_mean,total_std
4,Male,24,896.79,114.19,,,725.42,74.63,,,,,,,783.42,87.71
5,Male,66,805.88,158.2,,,699.76,149.94,,,,,,,723.69,147.4
6,Male,19,642.53,111.13,696.37,144.04,584.63,123.85,586.11,121.16,669.05,121.66,585.11,120.83,604.32,120.24
7,Male,61,609.13,103.16,652.57,123.35,543.3,116.95,534.39,112.93,630.62,108.85,538.87,110.85,558.7,108.12
8,Male,36,530.44,75.32,566.61,87.97,475.36,90.45,463.39,101.67,548.61,77.61,469.42,92.25,487.19,86.14
9,Male,57,512.7,73.4,547.75,79.09,439.81,85.77,433.86,97.86,530.37,73.67,437.67,88.09,458.56,80.75
10,Male,33,440.91,59.25,476.58,63.75,385.67,61.71,387.18,69.62,458.82,57.9,386.15,61.48,402.15,58.04
11,Male,55,424.82,57.55,452.64,68.79,365.25,69.53,358.25,76.57,439.45,61.47,362.15,71.52,379.33,66.01
12,Male,37,432.86,63.18,442.76,81.61,382.84,80.15,368.97,81.4,437.81,69.14,376.14,78.21,389.92,73.81
13,Male,66,412.23,57.49,433.98,74.54,368.89,65.22,365.7,66.32,423.15,62.5,367.41,62.9,379.74,60.77
14,Male,46,403.48,58.24,426.83,76.63,371.15,64.68,378.04,80.91,415.15,64.36,374.67,69.3,383.43,65.82
15,Male,61,390.61,56.57,414.74,70.48,345.66,53.17,353.41,64.31,402.36,60.35,349.51,56.41,361.15,53.54
16,Male,22,391.64,48.46,406.18,59.3,346.32,56.84,338.86,58.5,398.82,51.18,342.45,55.47,354.82,51.97
17,Male,18,426.44,45.92,434.61,48.61,364.78,54.52,360.83,52.52,430.5,46.46,362.94,51.9,377.89,45.92
18,Male,32,406.91,68.2,423.16,73.43,363.5,65.88,361.81,72.04,415.31,69.38,362.91,66.95,373.94,64.2
19,Male,25,438.04,55.96,441.12,50.34,394.96,59.55,391.88,66.82,439.12,50.06,393.36,60.8,404.04,56.86
20,Male,19,414.68,47.36,428.37,62.11,377.21,51.14,370.63,59.22,420.58,55.47,372.79,54.8,383.58,52.36
30,Male,4,386,62.9,388,69.02,341.5,77.52,351,77.19,386.75,65.76,346,76.62,355.25,72.94
40,Male,14,360.71,37.63,367.43,41.36,327.79,34.25,318.57,32.18,364,38.72,323.29,32.2,331.93,31.25
50,Male,8,452.75,49.9,477.38,65.23,432.5,48.77,439.88,45.03,465.25,57.18,436.13,45.45,442.88,46.85
60,Male,12,450.67,44.15,474.75,33.9,432.25,36.86,452.17,59.43,471.08,51.46,442.83,40.29,447.17,35.92
70,Male,12,493,54.26,501.08,53.03,456.83,52.8,485.25,72.08,496.92,52.95,470.75,59.38,476.75,55.65
80,Male,8,541.25,31.3,540.13,37.49,487.75,75.53,495,88.28,540.13,31.76,491.38,80.46,502.25,68.44
4,Female,26,911.85,150.15,,,801.38,102.03,,,,,,,826.69,104.27
5,Female,80,834.94,134.51,,,748.91,131.64,,,,,,,767.9,126.78
6,Female,23,706.17,94.35,764.48,114.98,648.22,79.1,648.09,83.97,735.13,96.26,647.74,78.43,667,74.27
7,Female,61,655.16,102.72,691.89,105.57,591.02,103.2,587.25,113.71,673.51,99.51,589.25,106.33,608.28,99.87
8,Female,38,589.03,83.95,615.39,90.16,522.34,90.57,533.74,89.86,602.5,80.48,527.95,86.62,544.34,79.54
9,Female,55,552.42,77.01,583.89,79.39,476.69,72.17,481.64,86.88,568.25,73.36,478.96,76.25,498.8,71.53
10,Female,34,488.21,67.69,506.62,83.11,424.06,74.68,419.53,90.49,497.38,73.11,421.74,78.61,438.47,74.24
11,Female,60,458.6,62.94,486.07,73.95,401.58,77.84,389.98,77.6,472.75,66.69,395.82,75.66,412.8,71.07
12,Female,49,463.9,78.84,467.73,77.58,394.33,81.08,395.39,94.64,465.82,75.85,394.96,85.47,410.29,80.96
13,Female,69,420.65,62.87,445.68,72.4,365.54,58.18,363.35,61.97,433.17,65.3,364.43,58.42,379.71,56.85
14,Female,36,424.97,69.54,442.58,72.56,371.42,67.33,366.94,62.95,433.58,69.89,369.28,63.24,383.36,62.93
15,Female,58,412.38,56.93,423.31,61.71,363.34,66.87,360.84,66.66,417.91,57.8,362.09,65.38,374.41,61.85
16,Female,30,410.17,51.56,430.69,53.35,364.79,68.77,371.69,71.75,420.1,50.9,368.28,68.5,379.62,60.33
17,Female,29,411.89,44.03,418.56,45.98,366.94,52.43,365,56.89,415.06,43.63,365.83,52.75,376.72,48.55
18,Female,18,431.68,53.86,445.55,66.97,392.74,65.02,393.11,66.39,438.06,59.57,392.53,63.94,402.44,60.6
19,Female,66,422.54,41.5,444.63,60.57,393.13,47.43,397.33,62.98,433.22,49.89,394.69,54.13,403.52,49.63
20,Female,54,445.5,59.8,470.63,77.15,409.9,74.12,411.07,81.33,457.8,65.8,410.5,74.8,421.07,71.26
30,Female,22,401.59,52.29,413.36,64.35,364.64,57.13,357.55,65.78,405.91,57.01,365.09,66.59,369.77,53.53
40,Female,19,443.89,85.19,452.32,78.17,401.16,68.6,385.26,64.33,448.16,80.71,393.11,65.32,405.32,66.85
50,Female,16,472.88,46.75,480.81,60.94,428,49.93,410.19,39.62,476.81,52.21,419.06,42.1,432.06,41.57
60,Female,24,466.17,47.06,478.83,48.21,438.5,66.75,430.08,62.23,472.54,45.39,434.33,62.87,442.75,57.71
70,Female,39,500.1,56.73,519.28,69.56,475.05,57.9,468.56,54.06,510.03,61.43,471.72,51.73,480.23,50.35
80,Female,23,522.17,51.18,532.3,61.4,494.74,70.13,515.22,77.57,527.26,55.54,504.87,70.71,509.57,63.09
