age,sex,n,Q1_mean,Q1_std,Q2_mean,Q2_std,Q3_mean,Q3_std,Q4_mean,Q4_std,half1_mean,half1_std,half2_mean,half2_std,total_mean,total_std
4,Male,24,280.88,69.79,,,334.29,73.84,,,,,,,330.08,65.98
5,Male,66,228.68,63.68,,,263.20,74.57,,,,,,,262.94,63.33
6,Male,19,170.58,48.78,212.37,79.58,221.26,53.09,261.05,71.52,198.84,60.20,242.32,58.90,236.95,54.41
7,Male,61,168.75,52.74,184.26,67.28,212.59,61.39,236.33,69.74,181.72,54.83,227.54,59.96,223.15,54.93
8,Male,36,145.75,55.27,151.61,47.17,162.11,53.94,185.17,55.85,154.28,43.82,176.47,52.58,176.92,47.66
9,Male,57,127.07,48.50,135.88,44.90,146.65,48.46,164.93,54.82,135.70,40.64,158.58,48.76,161.74,43.81
10,Male,33,107.09,34.15,116.06,36.90,122.33,39.41,142.85,57.76,116.27,30.08,135.61,46.21,137.39,39.30
11,Male,55,101.89,34.33,105.98,40.43,110.96,34.47,124.36,47.27,107.33,34.19,119.35,38.34,123.82,33.70
12,Male,37,103.92,39.45,110.97,50.52,114.22,40.87,124.35,45.16,110.57,43.21,121.84,40.93,125.05,37.09
13,Male,66,89.41,31.40,93.86,38.91,100.21,35.21,107.61,40.91,95.39,34.64,106.33,36.42,108.35,33.71
14,Male,46,79.89,23.84,81.41,27.27,99.28,37.30,105.70,41.70,84.39,25.94,105.39,39.15,104.70,35.07
15,Male,61,74.41,26.99,82.16,35.97,88.75,27.82,94.89,31.94,82.31,30.53,93.89,28.53,96.59,27.34
16,Male,22,70.00,21.72,81.77,38.97,82.55,24.27,89.18,37.82,79.27,27.89,88.23,28.70,91.59,25.77
17,Male,18,87.17,47.37,83.33,47.36,84.78,22.72,91.56,25.83,86.78,45.63,89.50,22.28,95.94,27.72
18,Male,32,77.28,36.32,74.09,39.22,80.09,29.40,86.75,34.28,78.13,35.75,86.16,30.31,89.84,29.15
19,Male,25,68.68,16.74,69.48,34.41,74.64,20.52,79.36,28.48,72.52,25.00,79.88,23.27,82.92,20.07
20,Male,19,64.79,26.78,70.58,20.78,78.79,17.20,80.84,29.13,69.84,22.77,81.11,22.02,83.53,20.86
30,Male,4,48.75,9.00,50.00,14.09,63.00,15.64,61.25,11.76,49.50,11.09,63.00,12.96,64.00,12.83
40,Male,14,52.86,12.46,52.50,10.76,64.07,14.37,64.14,15.40,54.14,7.59,65.21,11.97,66.14,11.60
50,Male,8,62.00,19.68,60.50,24.73,70.13,8.89,79.00,15.66,63.38,21.31,75.88,10.48,75.38,11.55
60,Male,12,83.17,36.61,75.00,28.87,77.08,19.77,82.00,21.80,82.50,29.77,84.42,25.19,86.50,22.93
70,Male,12,86.92,31.18,77.08,26.62,94.33,31.02,117.92,48.92,83.50,26.79,110.33,38.62,107.08,33.85
80,Male,8,114.38,32.15,102.13,16.56,124.75,35.62,128.75,29.24,110.75,17.52,128.38,29.51,128.88,21.68
4,Female,26,254.42,88.97,,,331.81,100.49,,,,,,,325.46,91.67
5,Female,80,217.40,69.44,,,264.23,62.44,,,,,,,260.40,55.69
6,Female,23,192.74,64.03,212.09,66.69,239.13,48.97,258.52,46.37,210.74,56.80,250.70,40.60,248.04,38.79
7,Female,61,166.95,46.95,175.38,50.43,203.90,56.53,230.02,66.30,176.69,40.63,218.79,55.08,215.87,47.89
8,Female,38,149.21,47.83,156.08,46.52,173.76,45.25,207.53,52.04,160.18,34.54,193.92,43.81,192.79,37.89
9,Female,55,126.65,41.17,133.40,45.24,149.27,41.65,172.22,52.65,135.22,37.11,163.60,43.55,164.82,38.17
10,Female,34,122.00,40.99,114.26,38.44,127.09,41.47,135.59,50.41,122.79,31.66,134.38,44.50,138.32,38.78
11,Female,60,108.77,32.18,114.98,38.61,118.47,37.96,131.40,45.66,114.83,32.65,127.37,38.73,130.95,34.36
12,Female,49,111.14,52.75,100.39,39.25,110.14,43.82,120.76,45.96,109.10,42.76,117.73,44.21,122.33,40.89
13,Female,69,79.70,29.14,92.32,36.08,94.19,32.66,100.22,32.75,89.67,30.47,98.83,31.10,103.09,29.61
14,Female,36,79.89,32.68,78.92,22.62,94.81,39.52,97.97,42.41,81.72,25.34,98.39,39.25,100.39,34.64
15,Female,58,70.71,19.69,72.95,21.10,86.43,28.68,88.88,28.50,73.79,18.56,89.28,26.59,90.93,22.71
16,Female,30,81.28,26.84,76.10,22.98,90.72,33.58,101.38,45.17,81.14,22.41,98.41,37.46,100.83,32.13
17,Female,29,74.72,28.62,63.78,17.93,83.33,22.85,89.44,32.48,71.11,21.48,88.61,24.59,89.56,20.04
18,Female,18,64.74,18.93,69.11,19.52,81.03,28.34,84.92,27.06,70.08,17.14,85.24,26.68,86.58,23.18
19,Female,66,62.50,15.59,66.37,27.91,80.56,20.11,87.74,33.39,67.70,21.42,85.93,26.30,86.06,23.46
20,Female,54,64.60,20.77,74.10,33.94,81.20,28.39,87.73,39.15,74.13,28.14,86.93,33.09,88.63,29.06
30,Female,22,67.32,30.38,63.27,25.75,76.68,24.25,75.45,24.15,69.41,25.96,80.32,26.37,81.36,24.57
40,Female,19,69.21,27.82,63.95,19.45,79.37,20.50,75.74,22.28,69.11,20.59,79.37,19.83,81.89,21.06
50,Female,16,68.06,26.07,67.88,27.30,76.75,20.55,67.56,17.13,70.81,23.40,74.69,17.88,79.56,17.37
